Dossier,Fichier,Id_avant validation,Id,Validation,Opérateur,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Machine,Site,Habitat1,Habitat2,H3,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Projet
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180606_232505_002.wav,Nyclei,Nyclei,Smits Q.,Verte P.,Secondaire,ENVsp,7,Nyclei,7,2018,6,6,23,25,6/06/2018,23:25,6/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,7,23,48,8,3,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180606_233702_002.wav,ENVsp,ENVsp,Smits Q.,Verte P.,Principal,ENVsp,8,Vesmur,1,2018,6,6,23,37,6/06/2018,23:37,6/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,13,24,233,9,3,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180606_235213_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,3,Myobra,1,2018,6,6,23,52,6/06/2018,23:52,6/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,4,41,0,4,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_003452_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,1,Myonat,1,2018,6,7,0,34,7/06/2018,0:34,6/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,3,38,355,3,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_015405_002.wav,Myosp,Myodau,Smits Q.,Verte P.,Principal,Myosp,8,Myodau,2,2018,6,7,1,54,7/06/2018,1:54,6/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,39,43,88,4,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_040013_002.wav,ChiroSp,Pip35,Smits Q.,Verte P.,Principal,Rhisp,3,Rhifer,3,2018,6,7,4,0,7/06/2018,4:00,6/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,3,41,0,7,7,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_222711_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,3,Myoalc,3,2018,6,7,22,27,7/06/2018,22:27,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,40,47,79,5,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_222942_002.wav,Pipnat,Pipnat,Smits Q.,Verte P.,Principal,Pip35,8,Pipnat,7,2018,6,7,22,29,7/06/2018,22:29,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,24,41,101,8,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_223715_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,3,2018,6,7,22,37,7/06/2018,22:37,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,19,25,197,7,2,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180607_230312_002.wav,ChiroSp,ENVsp,Smits Q.,Verte P.,Secondaire,ENVsp,4,Nycnoc,4,2018,6,7,23,3,7/06/2018,23:03,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,4,21,0,7,6,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180608_012024_002.wav,Nyclei,Nyclei,Smits Q.,Verte P.,Principal,ENVsp,7,Nyclei,7,2018,6,8,1,20,8/06/2018,1:20,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,4,21,192,7,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180608_030205_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,3,Myobec,0,2018,6,8,3,2,8/06/2018,3:02,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,15,40,89,6,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180608_033454_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,3,Myobec,3,2018,6,8,3,34,8/06/2018,3:34,7/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,17,40,89,5,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180608_230902_002.wav,Nyclei,Nyclei,Smits Q.,Verte P.,Secondaire,ENVsp,7,Nyclei,7,2018,6,8,23,9,8/06/2018,23:09,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,5,23,73,7,2,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180608_231709_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,1,Myodas,1,2018,6,8,23,17,8/06/2018,23:17,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,9,35,180,5,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180608_234315_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,3,Myobra,2,2018,6,8,23,43,8/06/2018,23:43,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,2,49,0,1,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180609_000650_002.wav,ChiroSp,Plesp,Smits Q.,Verte P.,Principal,Plesp,5,Pleaus,4,2018,6,9,0,6,9/06/2018,0:06,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,28,23,0,6,5,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180609_000707_002.wav,ChiroSp,Pleaus,Smits Q.,Verte P.,Principal,Plesp,4,Pleaus,4,2018,6,9,0,7,9/06/2018,0:07,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,24,23,202,6,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180609_014226_002.wav,ChiroSp,Pip35,Smits Q.,Verte P.,Principal,Pip35,4,Pipkuh,4,2018,6,9,1,42,9/06/2018,1:42,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,52,41,78,6,4,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180609_021824_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,2,Myoema,0,2018,6,9,2,18,9/06/2018,2:18,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,7,54,63,4,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180609_022845_002.wav,Pipnat,Pipnat,Smits Q.,Verte P.,Principal,Pip35,9,Pipnat,9,2018,6,9,2,28,9/06/2018,2:28,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,1,42,0,7,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180609_030907_002.wav,ENVsp,ENVsp,Smits Q.,Verte P.,Principal,ENVsp,8,Eptnil,3,2018,6,9,3,9,9/06/2018,3:09,8/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,32,29,119,7,2,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180610_025053_002.wav,Pip50,Pip50,Smits Q.,Verte P.,Principal,Pip50,10,Pippyg,2,2018,6,10,2,50,10/06/2018,2:50,9/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,1,48,0,5,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180611_002240_002.wav,ChiroSp,Pip35,Smits Q.,Verte P.,Principal,Pip35,4,Pipkuh,4,2018,6,11,0,22,11/06/2018,0:22,10/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,4,40,0,7,5,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180611_013019_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,5,Myomys,0,2018,6,11,1,30,11/06/2018,1:30,10/06/2018,G-BARBA,Bois de Battincourt,Lisière vraie (milieu ouvert/milieux forestier),Haie,,6,47,49,2,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180613_224124_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,5,Myomyo,5,2018,6,13,22,41,13/06/2018,22:41,13/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),5,29,131,6,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180613_224238_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,4,Myomyo,4,2018,6,13,22,42,13/06/2018,22:42,13/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),5,32,158,7,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180614_020328_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,6,Myonat,4,2018,6,14,2,3,14/06/2018,2:03,13/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),19,41,91,4,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180614_022209_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,4,Myonat,4,2018,6,14,2,22,14/06/2018,2:22,13/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),9,39,0,4,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180615_001246_002.wav,Rhihip,ChiroSp,Smits Q.,Verte P.,Principal,Rhisp,6,Rhihip,6,2018,6,15,0,12,15/06/2018,0:12,14/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),1,47,0,6,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180615_225932_002.wav,Myomyo,Myomyo,Smits Q.,Verte P.,Principal,Myosp,7,Myomyo,7,2018,6,15,22,59,15/06/2018,22:59,15/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),13,28,129,7,2,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180616_013741_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,7,Myoalc,5,2018,6,16,1,37,16/06/2018,1:37,15/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),32,50,73,5,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180616_014103_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Barbar,2,Barbar,1,2018,6,16,1,41,16/06/2018,1:41,15/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),1,37,0,4,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180616_014520_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,7,Myobec,4,2018,6,16,1,45,16/06/2018,1:45,15/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),3,38,0,6,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180616_034912_002.wav,Myosp,Myobec,Smits Q.,Verte P.,Principal,Myosp,10,Myobec,3,2018,6,16,3,49,16/06/2018,3:49,15/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),36,42,106,5,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180616_224428_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,6,Myobec,3,2018,6,16,22,44,16/06/2018,22:44,16/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),12,38,142,6,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180616_225635_002.wav,ChiroSp,Myomyo,Smits Q.,Verte P.,Principal,Myosp,4,Myomyo,4,2018,6,16,22,56,16/06/2018,22:56,16/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),15,32,83,7,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180617_030335_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,7,Myoalc,4,2018,6,17,3,3,17/06/2018,3:03,16/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),59,53,68,5,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180617_040030_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,4,Myobec,3,2018,6,17,4,0,17/06/2018,4:00,16/06/2018,G-BARBA,Bois de Jamoigne,Forêt feuillue,,Sentier (non induré - circulation piétonne),8,38,205,6,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180618_042945_002.wav,Rhisp,Rhifer,Smits Q.,Verte P.,Principal,Rhisp,10,Rhifer,0,2018,6,18,4,29,18/06/2018,4:29,17/06/2018,G-BARBA,RND Moyen,Prairie,Arbre isolé,,7,80,0,7,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180618_233049_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,9,Myobec,3,2018,6,18,23,30,18/06/2018,23:30,18/06/2018,G-BARBA,RND Moyen,Prairie,Arbre isolé,,10,35,135,4,1,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180619_041018_002.wav,ChiroSp,Myomyo,Smits Q.,Verte P.,Principal,Myosp,4,Myomyo,4,2018,6,19,4,10,19/06/2018,4:10,18/06/2018,G-BARBA,RND Moyen,Prairie,Arbre isolé,,22,32,137,6,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180628_002558_002.wav,Myonat,Myonat,Smits Q.,Verte P.,Principal,Myosp,8,Myonat,8,2018,6,28,0,25,28/06/2018,0:25,27/06/2018,G-BARBA,"Florenville, bois derrière le Home",Forêt feuillue,,Sentier (non induré - circulation piétonne),4,35,0,0,0,0,Barbalux
G:/Données Patrick 2018/PB/201801/,G-BARBA_20180630_011856_002.wav,Myosp,Myonat,Smits Q.,Verte P.,Principal,Myosp,9,Myonat,5,2018,6,30,1,18,30/06/2018,1:18,29/06/2018,G-BARBA,"Florenville, bois derrière le Home",Forêt feuillue,,Sentier (non induré - circulation piétonne),35,42,66,2,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_221303_002.wav,Myosp,Myoema,Smits Q.,Verte P.,Principal,Myosp,9,Myoema,4,2018,5,22,22,13,22/05/2018,22:13,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,19,53,49,3,1,1,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_221408_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,9,Eptser,2,2018,5,22,22,14,22/05/2018,22:14,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,5,26,181,6,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_223621_002.wav,ChiroSp,Pip35,Smits Q.,Verte P.,Principal,Pip35,3,Pipnat,2,2018,5,22,22,36,22/05/2018,22:36,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,9,43,0,6,2,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_223945_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,0,Myomyo,0,2018,5,22,22,39,22/05/2018,22:39,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,3,26,0,6,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_224111_002.wav,ENVsp,ENVsp,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,3,2018,5,22,22,41,22/05/2018,22:41,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,5,26,253,7,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_230229_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Secondaire,ENVsp,9,Nycnoc,2,2018,5,22,23,2,22/05/2018,23:02,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,6,26,147,7,4,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_231057_002.wav,ChiroSp,ENVsp,Smits Q.,Verte P.,Principal,ENVsp,2,Nyclei,2,2018,5,22,23,10,22/05/2018,23:10,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,7,24,0,7,2,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_232342_002.wav,ChiroSp,PippiT,Smits Q.,Verte P.,Principal,Plesp,1,Pleaus,1,2018,5,22,23,23,22/05/2018,23:23,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,2,23,0,5,7,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180522_234840_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,1,Myodas,1,2018,5,22,23,48,22/05/2018,23:48,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,5,35,89,5,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_000642_002.wav,ChiroSp,PippiT,Smits Q.,Verte P.,Principal,Rhisp,2,Rhihip,2,2018,5,23,0,6,23/05/2018,0:06,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,1,47,0,6,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_001044_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,4,Myodau,1,2018,5,23,0,10,23/05/2018,0:10,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,27,41,86,5,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_002956_002.wav,ENVsp,ENVsp,Smits Q.,Verte P.,Principal,ENVsp,10,Nyclei,2,2018,5,23,0,29,23/05/2018,0:29,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,7,27,189,6,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_005137_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,9,Myobec,0,2018,5,23,0,51,23/05/2018,0:51,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,2,41,0,3,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_010910_002.wav,ENVsp,ENVsp,Smits Q.,Verte P.,Secondaire,ENVsp,9,Vesmur,1,2018,5,23,1,9,23/05/2018,1:09,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,3,27,0,6,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_014956_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,9,Myobra,1,2018,5,23,1,49,23/05/2018,1:49,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,38,44,80,4,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_023759_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,2,Myonat,2,2018,5,23,2,37,23/05/2018,2:37,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,4,41,0,4,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_033005_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Myosp,3,Myobec,2,2018,5,23,3,30,23/05/2018,3:30,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,4,41,0,4,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_042221_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,4,Myoalc,3,2018,5,23,4,22,23/05/2018,4:22,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,36,52,75,4,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_044908_002.wav,ChiroSp,ChiroSp,Smits Q.,Verte P.,Principal,Rhisp,2,Rhihip,2,2018,5,23,4,49,23/05/2018,4:49,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,1,47,0,4,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_045405_002.wav,ChiroSp,Myosp,Smits Q.,Verte P.,Principal,Myosp,4,Myobec,1,2018,5,23,4,54,23/05/2018,4:54,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,2,37,0,5,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180523_051644_002.wav,ChiroSp,Pip35,Smits Q.,Verte P.,Principal,Pip35,4,Pipnat,2,2018,5,23,5,16,23/05/2018,5:16,22/05/2018,H-BARBA,Aulnaie nord Willancourt,Prairie,Bande boisée et alignement d'arbres,,4,42,91,6,1,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180525_220941_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Secondaire,Myosp,9,Myoema,5,2018,5,25,22,9,25/05/2018,22:09,25/05/2018,H-BARBA,Bois Willancourt,Lisière vraie (milieu ouvert/milieux forestier),,,6,61,56,2,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180525_220946_002.wav,Myosp,Myoema,Smits Q.,Verte P.,Principal,Myosp,8,Myoema,4,2018,5,25,22,9,25/05/2018,22:09,25/05/2018,H-BARBA,Bois Willancourt,Lisière vraie (milieu ouvert/milieux forestier),,,14,59,64,5,3,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180526_003036_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,6,Myoalc,4,2018,5,26,0,30,26/05/2018,0:30,25/05/2018,H-BARBA,Bois Willancourt,Lisière vraie (milieu ouvert/milieux forestier),,,52,53,56,4,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180526_004809_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,6,Myoema,3,2018,5,26,0,48,26/05/2018,0:48,25/05/2018,H-BARBA,Bois Willancourt,Lisière vraie (milieu ouvert/milieux forestier),,,10,57,31,1,0,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180526_005204_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,3,2018,5,26,0,52,26/05/2018,0:52,25/05/2018,H-BARBA,Bois Willancourt,Lisière vraie (milieu ouvert/milieux forestier),,,21,26,216,7,2,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180528_213806_002.wav,Rhifer,Rhifer,Smits Q.,Verte P.,Principal,Rhisp,10,Rhifer,10,2018,5,28,21,38,28/05/2018,21:38,28/05/2018,H-BARBA,RND Pré fleuri à Musson,Lisière vraie (milieu ouvert/milieux forestier),Haie,"Chemin (induré, circulation véhicule lents)",25,75,0,9,2,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180528_214424_002.wav,Rhifer,Rhifer,Smits Q.,Verte P.,Principal,Rhisp,10,Rhifer,10,2018,5,28,21,44,28/05/2018,21:44,28/05/2018,H-BARBA,RND Pré fleuri à Musson,Lisière vraie (milieu ouvert/milieux forestier),Haie,"Chemin (induré, circulation véhicule lents)",23,74,0,8,3,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180606_215200_002.wav,Nycnoc,Nycnoc,Smits Q.,Verte P.,Principal,ENVsp,6,Nycnoc,6,2018,6,6,21,52,6/06/2018,21:52,6/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,8,20,0,10,3,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180606_232148_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,4,2018,6,6,23,21,6/06/2018,23:21,6/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,19,26,241,9,3,0,Barbalux
G:/Données Patrick 2018/PD/,H-BARBA_20180606_233053_002.wav,Myosp,Myobec,Smits Q.,Verte P.,Principal,Myosp,10,Myobec,3,2018,6,6,23,30,6/06/2018,23:30,6/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,28,40,108,6,0,0,Barbalux
